Date,Close,High,Low
01/01/1999,1.3741,1.3741,1.3741
04/01/1999,1.3671,1.3737,1.3575
05/01/1999,1.371,1.3732,1.3645
06/01/1999,1.3952,1.4006,1.3705
07/01/1999,1.3779,1.3925,1.3741
08/01/1999,1.3917,1.4001,1.3765
11/01/1999,1.402,1.4031,1.39
12/01/1999,1.3886,1.405,1.3854
13/01/1999,1.3668,1.388,1.3377
14/01/1999,1.3574,1.3707,1.3536
15/01/1999,1.3793,1.3817,1.3495
18/01/1999,1.379,1.3865,1.377
19/01/1999,1.375,1.385,1.3725
20/01/1999,1.3901,1.3937,1.377
21/01/1999,1.384,1.391,1.379
22/01/1999,1.3843,1.3855,1.376
25/01/1999,1.3867,1.3892,1.3745
26/01/1999,1.3893,1.39,1.381
27/01/1999,1.4106,1.4132,1.3875
28/01/1999,1.4103,1.4186,1.405
29/01/1999,1.4141,1.4208,1.4095
01/02/1999,1.4199,1.4253,1.41
02/02/1999,1.4129,1.422,1.4068
03/02/1999,1.4149,1.4179,1.4065
04/02/1999,1.4143,1.425,1.412
05/02/1999,1.4214,1.424,1.408
08/02/1999,1.415,1.4275,1.4133
09/02/1999,1.4208,1.4226,1.4115
10/02/1999,1.4059,1.4195,1.4022
11/02/1999,1.4269,1.4277,1.4085
12/02/1999,1.416,1.426,1.413
15/02/1999,1.422,1.423,1.414
16/02/1999,1.4254,1.4329,1.4225
17/02/1999,1.4226,1.427,1.418
18/02/1999,1.4274,1.4311,1.4165
19/02/1999,1.4465,1.4496,1.428
22/02/1999,1.4483,1.4585,1.4464
23/02/1999,1.448,1.4574,1.444
24/02/1999,1.4484,1.4562,1.4433
25/02/1999,1.4385,1.4485,1.4323
26/02/1999,1.4468,1.4528,1.4395
01/03/1999,1.4629,1.464,1.446
02/03/1999,1.4577,1.4655,1.4562
03/03/1999,1.4603,1.4626,1.4541
04/03/1999,1.4687,1.4734,1.46
05/03/1999,1.47,1.4749,1.4652
08/03/1999,1.4626,1.4745,1.457
09/03/1999,1.4659,1.471,1.459
10/03/1999,1.4593,1.469,1.4549
11/03/1999,1.454,1.4773,1.4423
12/03/1999,1.4665,1.4671,1.4515
15/03/1999,1.4652,1.467,1.4608
16/03/1999,1.4534,1.4745,1.4517
17/03/1999,1.4513,1.461,1.4449
18/03/1999,1.4581,1.4591,1.4445
19/03/1999,1.4676,1.4591,1.454
22/03/1999,1.4623,1.4715,1.4617
23/03/1999,1.4593,1.4675,1.4566
24/03/1999,1.4635,1.4671,1.4516
25/03/1999,1.4713,1.4737,1.4615
26/03/1999,1.4796,1.487,1.4685
29/03/1999,1.4838,1.4925,1.478
30/03/1999,1.4905,1.492,1.4825
31/03/1999,1.4828,1.4925,1.475
01/04/1999,1.4799,1.487,1.4751
02/04/1999,1.481,1.4835,1.478
05/04/1999,1.4893,1.4926,1.48
06/04/1999,1.473,1.49,1.4694
07/04/1999,1.4819,1.4845,1.4715
08/04/1999,1.4856,1.4882,1.465
09/04/1999,1.4823,1.4865,1.4775
12/04/1999,1.4844,1.485,1.4727
13/04/1999,1.4909,1.4936,1.4825
14/04/1999,1.4849,1.49,1.483
15/04/1999,1.4979,1.5002,1.481
